country,name,generation,emission,fuel,sigma,generation_el,generation_heat,emissions_heat,emissions_el,emission_factor
HU,Manual Match,KI_GTST,BERT Rt. Kispesti Komb. Cikl. Gázt. Hoszolg. Eromu,gas,0.0,527327.6325000167,583025.096468918,89371.76502969423,184763.23497030576,350.37654691895915
HU,Manual Match,Litér_GT,Litéri Gázturbinás Erőmű,oil,0.0,722.4575000000169,0.0,0.0,1111.0,1537.806722194695
HU,Manual Match,MÁ2_gép3|MÁ2_gép4|MÁ2_gép5,MVM Mátra Energia ZRt. Visontai Erőmű,lignite,0.4196655504100053,3405506.8150000214,130542.49563390492,69169.97675247895,4124482.023247521,1211.1213535326592
HU,lorinci,Lorinci_GT,Lőrinci Gázturbinás Erőmű,oil,0.0,1589.9774999999981,0.0,0.0,2119.0,1332.7232618071655
IE,Manual Match,Dublin Bay Gen,Dublin Bay Power Plant,gas,0.0,1938882.03500001,0.0,0.0,742726.0,383.0692051360392
IE,Manual Match,Huntstown CCGT Unit 2,CCGT HPC2 (Huntstown Power Station Phase II),gas,0.0,1311287.8300000012,0.0,0.0,537790.0,410.1235348153879
IE,Manual Match,Sealrock 3|Sealrock 4,Aughinish Alumina,gas,1.0,1240086.3950000005,3663079.418753631,690500.8710106548,534308.1289893452,430.86363268209624
IE,aghada,Aghada Unit 2|Aghada CT1|Aghada CT2|Aghada CT4,Aghada CCGT,gas,0.0,1883386.954999992,0.0,0.0,675188.0,358.49669565116153
IE,cushaling,Cushaling Unit 1|Cushaling Unit 2,Cushaling Power Limited,gas,0.0,7526.660000000001,0.0,0.0,7100.0,943.3135016062901
IE,huntstown,Huntstown CCGT Unit 1,Huntstown Power Station,gas,0.0,1592129.634999981,0.0,0.0,657649.0,413.06247025544997
IE,island,Great Island Unit 4,Great Island Generating Station,gas,0.0,2058055.3100000005,0.0,0.0,798519.0,387.99686097843494
IE,moneypoint,Moneypoint Unit 1|Moneypoint Unit 2|Moneypoint Unit 3,ESB Moneypoint Generating Station,coal,0.0,757953.7600000014,0.0,0.0,879172.0,1159.9282784743998
IE,poolbeg,Poolbeg A|Poolbeg B,ESB Poolbeg Generating Station,gas,0.0,1129375.1949999996,0.0,0.0,543271.0,481.0367736118024
IE,rhode,Rhode Unit 1|Rhode Unit 2,Rhode Generating Station,oil,0.0,7960.700000000006,0.0,0.0,6925.0,869.8983757709742
IE,tarbert,Tarbert Unit 3|Tarbert Unit 4|Tarbert Unit 1|Tarbert Unit 2,Tarbert Generating Station,oil,0.0,200824.1050000001,0.0,0.0,194511.0,968.5640077917933
IE,tawnaghmore,Tawnaghmore Unit 1|Tawnaghmore Unit 3,Tawnaghmore Generating Station,oil,0.0,2595.615,0.0,0.0,2456.0,946.2112062073921
IE,tynagh,Tynagh Generator Unit,Tynagh 400MW CCPP,gas,0.0,1692594.9999999967,0.0,0.0,675450.0,399.0617956451492
IE,whitegate,Whitegate Unit 1,Whitegate Power Station,gas,0.0,2007324.4549999963,0.0,0.0,765553.0,381.37980040700563
IT,Manual Match,UP_AZOTATI_5,MARGHERA AZOTATI,gas,0.0,158813.0,0.0,0.0,78522.0,494.4305566924622
IT,Manual Match,UP_BRNDSSUDCE_1|UP_BRNDSSUDCE_3|UP_BRNDSSUDCE_4,CENTRALE TERMOELETTRICA DI  BRINDISI SUD,coal,0.0,3281751.0,0.0,0.0,3706357.0,1129.3839782481973
IT,Manual Match,UP_BUSSI_1,BUSSI SUL TIRINO,gas,0.0,180091.0,0.0,0.0,80114.0,444.8528799329228
IT,Manual Match,UP_CCGTPRILIA_1,Centrale a ciclo combinato di Aprilia,gas,0.0,1713661.0,0.0,0.0,694911.0,405.5125255228426
IT,Manual Match,UP_CHIVASSO_1|UP_CHIVASSO_2,CENTRALE TERMOELETTRICA DI CHIVASSO,gas,0.0,2549641.0,0.0,0.0,983108.0,385.58683359735744
IT,Manual Match,UP_CNTRLDSCND_1|UP_CNTRLDSCND_2,CENTRALE TURBOGAS A CICLO COMBINATO DI SCANDALE,gas,0.0,2473814.0,0.0,0.0,953584.0,385.47117932067647
IT,Manual Match,UP_CNTRLDTRNL_1,Centrale a ciclo combinato di Turano Lodigiano,gas,0.0,1411057.0,0.0,0.0,538261.0,381.4594307671483
IT,Manual Match,UP_CNTRLDTVRL_1,Centrale di Teverola,gas,0.0,1162286.0,0.0,0.0,476856.0,410.2742354291457
IT,Manual Match,UP_CTE_DEL_M_2,CENTRALE TERMOELETTRICA DI PONTI SUL MINCIO,gas,0.0,846739.0,0.0,0.0,330862.0,390.7485069188971
IT,Manual Match,UP_CTNUCENORD_2|UP_CTNUCENORD_3,ERG Power,gas,0.0,2415807.0,0.0,0.0,1147454.0,474.97751269037633
IT,Manual Match,UP_CTTAMARETE_1,Cte Tamarete,gas,0.0,204696.0,0.0,0.0,89682.0,438.12287489740885
IT,Manual Match,UP_FIUMESANT_3|UP_FIUMESANT_4,Centrale termoelettrica di fiumesanto,coal,0.0,3036485.0,0.0,0.0,3082912.0,1015.289718210365
IT,Manual Match,UP_LA_CASELL_1|UP_LA_CASELL_2|UP_LA_CASELL_3|UP_LA_CASELL_4,CENTRALE TERMOELETTRICA DI  LA CASELLA,gas,0.0,3017275.0,0.0,0.0,1169731.0,387.67795444565047
IT,Manual Match,UP_LEVANTE_3|UP_LEVANTE_4,MARGHERA LEVANTE,gas,0.0,1833284.0,0.0,0.0,783808.0,427.54314116088943
IT,Manual Match,UP_MONCALIERI_3|UP_MONCALRPW_2,Centrale Termoelettrica di Moncalieri,gas,0.0,3018705.0,1468715.848157957,219388.97956013444,1030670.0204398655,341.4278707061026
IT,Manual Match,UP_MONFALCO_1|UP_MONFALCO_2,Centrale Termoelettrica di Monfalcone,coal,0.0,113658.0,0.0,0.0,129310.0,1137.711379753295
