country,fuel,total_generation,matched_generation,coverage_percentage,emissions_el,emissions_heat,emission_factor
,coal,128360829.30999996,119757969.72999993,93.29790900678621,103252320.88062988,12963955.119370108,862.1749442932039
,coal+lignite,298001913.31499994,280422860.68499994,94.10102692481097,280082056.76058847,17169468.239411525,998.7846785259269
,gas,373937984.57250005,350301073.17249995,93.67892207393086,146705524.37774423,8296948.622255782,418.7983869107404
,lignite,169641084.00499997,160664890.955,94.70871510716391,176829735.8799586,4205513.120041417,1100.6121799783011
,oil,2773195.1375,1363142.235,49.15421264689131,1204677.5008678231,18605.499132176887,883.750403983208
AT,coal,345970.4300000008,345964.27000000083,99.99821950101342,195237.59532512154,175856.40467487846,564.3287826373547
AT,coal+lignite,345970.4300000008,345964.27000000083,99.99821950101342,195237.59532512154,175856.40467487846,564.3287826373547
AT,gas,7693359.890000012,6143450.25,79.85393037423589,2167243.3617498274,402669.63825017307,352.77299783616337
BE,gas,18941370.49999998,17477723.05999997,92.27274795136913,9878288.0,0.0,565.1930726953639
BG,coal,0.0,0.0,100.0,0.0,0.0,
BG,coal+lignite,13492004.0,13492004.0,100.0,14000647.0,0.0,1037.6995885859506
BG,lignite,13492004.0,13492004.0,100.0,14000647.0,0.0,1037.6995885859506
CZ,coal,327629.8999999999,327629.8999999999,100.0,306864.44110664935,69349.55889335065,936.6191581008004
CZ,coal+lignite,18802152.79999999,18802152.799999993,100.00000000000001,18809442.887301832,574855.112698169,1000.3877262023868
CZ,gas,5643320.219999993,5643320.219999993,100.0,3394412.1438894705,1127052.8561105295,601.4920315631982
CZ,lignite,18474522.89999999,18474522.899999995,100.00000000000003,18502578.44619518,505505.5538048183,1001.5186073462925
DE,coal,34720441.09000006,32939602.200000055,94.87092089243961,28750196.599547483,5418994.400452512,872.8155375096617
DE,coal+lignite,116119360.00999999,105362328.07000002,90.73622870546859,107703663.62066162,7577858.379338378,1022.2217522481667
DE,gas,43790372.42999996,41556858.689999945,94.89953244044602,17384444.06405828,3382445.935941721,418.32911851543764
DE,lignite,81398918.91999993,72422725.86999996,88.97258935487595,78953467.02111414,2158863.9788858653,1090.1753016427049
DE,oil,1410475.58,3825.1900000000005,0.27119859813524744,2897.4695566566297,10726.53044334337,757.4707548269836
DK,coal,2716981.6700000167,1856125.0800000029,68.31570122443968,1200406.2440621373,540319.7559378627,646.7270212534037
DK,coal+lignite,2716981.6700000167,1856125.0800000029,68.31570122443968,1200406.2440621373,540319.7559378627,646.7270212534037
DK,gas,181754.85999999972,0.0,0.0,0.0,0.0,
DK,oil,16613.56999999965,16613.56999999965,100.0,12120.031311166484,7878.968688833516,729.5260026091164
ES,coal,5073075.299999996,5073075.299999997,100.00000000000001,6423571.0,0.0,1266.2084869901307
ES,coal+lignite,5073075.299999996,5073075.299999997,100.00000000000001,6423571.0,0.0,1266.2084869901307
ES,gas,38701132.89999995,37941186.09999996,98.03637066138704,14536161.0,0.0,383.1235260196575
FI,coal,2891827.159999976,2891827.159999976,100.00000000000001,1346196.2383842706,1018818.7616157293,465.5175305789305
FI,coal+lignite,2891827.159999976,2891827.159999976,100.00000000000001,1346196.2383842706,1018818.7616157293,465.5175305789305
FI,gas,2314848.16999998,0.0,0.0,0.0,0.0,
FI,oil,1444.2199999999739,1444.2199999999739,100.0,1351.0,0.0,935.4530473196774
FR,coal,1169050.0,1169454.0,100.03455797442368,1160586.0,0.0,992.4169740750812
FR,coal+lignite,1169050.0,1169454.0,100.03455797442368,1160586.0,0.0,992.4169740750812
FR,gas,23475903.0,22209954.0,94.60745343853227,10699379.0,0.0,481.73800810213294
FR,oil,444569.0,444569.0,100.0,307631.0,0.0,691.975823775387
GR,coal+lignite,5690883.0,5690883.0,100.0,8986027.973484082,226224.02651591753,1579.021739417957
GR,gas,18416381.0,18416381.0,100.0,7245500.150698023,688802.8493019767,393.426925230208
GR,lignite,5690883.0,5690883.0,100.0,8986027.973484082,226224.02651591753,1579.021739417957
HU,coal+lignite,3405506.8150000214,3405506.8150000214,100.0,4124482.023247521,69169.97675247895,1211.1213535326592
HU,gas,5819554.732500012,5819554.732500012,100.0,2198383.441936648,283504.5580633523,377.7580146569475
HU,lignite,3405506.8150000214,3405506.8150000214,100.0,4124482.023247521,69169.97675247895,1211.1213535326592
HU,oil,2485.547500000027,2312.435000000015,93.03523670338184,3230.0,0.0,1396.796018050228
IE,coal,757953.7600000014,757953.7600000014,99.99999999999999,879172.0,0.0,1159.9282784743998
IE,coal+lignite,757953.7600000014,757953.7600000014,99.99999999999999,879172.0,0.0,1159.9282784743998
IE,gas,14860649.469999978,14860649.469999978,100.0,5937554.128989345,690500.8710106548,399.54876406820694
IE,oil,211380.42000000007,211380.4200000001,100.00000000000001,203892.0,0.0,964.5737292034896
IT,coal,11951564.0,11951564.0,100.0,12683464.0,0.0,1061.2388470663757
IT,coal+lignite,11951564.0,11951564.0,100.0,12683464.0,0.0,1061.2388470663757
IT,gas,105644878.0,102591304.0,97.10958632561439,41122925.82793568,385300.1720643249,400.8422178544069
IT,oil,658535.0,658535.0,100.0,657769.0,0.0,998.8368120145475
LT,gas,1232891.0,1232891.0,100.0,430010.1223250652,23508.877674934833,348.7819461128885
LV,gas,1319319.0,1319319.0,100.0,478235.94133523083,117735.05866476915,362.48696587802556
NL,coal,12143961.999999918,12143961.999999918,100.00000000000001,6753829.455143929,125602.5448560704,556.1471169906473
NL,coal+lignite,12143961.999999918,12143961.999999918,100.00000000000001,6753829.455143929,125602.5448560704,556.1471169906473
NL,gas,54746407.14000002,49278327.26000001,90.01198404487661,20376047.192933585,297322.8070664149,413.48901892360175
NO,gas,277835.3900000004,0.0,0.0,0.0,0.0,
PL,coal,55279836.14999999,49318274.20999998,89.21566640714435,42531222.361754514,5442450.638245482,862.3826166474153
PL,coal+lignite,90550302.55999997,84588740.61999997,93.41629815532667,83390447.23236164,5961279.767638353,985.8338901979704
PL,gas,10390068.98000002,9735381.630000018,93.69891238200422,4793957.199400479,243453.80059952138,492.426222370953
PL,lignite,35270466.40999998,35270466.40999999,100.00000000000003,40859224.87060713,518829.12939287105,1158.4543395497203
PT,coal,300639.0000000004,300639.0000000004,100.0,336200.0,0.0,1118.2847202126122
PT,coal+lignite,300639.0000000004,300639.0000000004,100.0,336200.0,0.0,1118.2847202126122
PT,gas,12152040.00000004,12152040.00000004,99.99999999999999,4475506.0,0.0,368.2925665155797
RO,coal,612573.4899999994,612573.4899999994,100.0,614277.934861021,163792.065138979,1002.78243327347
RO,coal+lignite,8014720.889999994,8014720.889999995,100.00000000000001,7459148.9965693895,473823.00343061006,930.6810678680283
RO,gas,6496586.929999991,2141668.590000003,32.966057609576325,957985.8024925902,654651.1975074098,447.30814420385593
