generation,emission,settings,comment
,,,
,,,AT
Block 07 Linz,,,ETS data seems to be missing
DO3,Wien Energie - KW Donaustadt,,
GDK-Mellach Linie 10|GDK-Mellach Linie 20,Verbund GDK-Mellach,,
Kraftwerk Timelkam GUD,Energie AG GuD Kraftwerk Timelkam,,
Lau GuD,Wien Energie - KW Leopoldau,,
Sim1_DT|Sim1_GT41|Sim1_GT42,Wien Energie - KW Simmering 1+2,,"missing block 2 data (60MW), but apparently it is rarely in use"
Sim3_DT,,,"missing gas turbine data, ETS is 'Wien Energie - KW Simmering 3'"
,,,
,,,BE
EDF Luminus Seraing GT1|EDF Luminus Seraing GT2|SERAING TV,EDFL - Seraing,,
RINGVAART STEG,EDFL - Centrale Buitenring Wondelgem Gent,,
SAINT-GHISLAIN STEG,Electrabel Baudour,,
Scheldelaan Exxonmobil,,,"no separate ETS record for power plant"
T-power Beringen,T-Power,,
VILVOORDE GT|VILVOORDE ST,Electrabel - Vilvoorde,,
Zelzate 2 Knippegroen,Electrabel - Knippegroen,,"burns blast furnace gas, not natural gas, so high emissions are expected"
,,,
,,,BG
TPP_GALABOVO_G1|TPP_GALABOVO_G2,TPP AES-3C Maritza East 1,,
TPP_MI2_G1|TPP_MI2_G2|TPP_MI2_G3|TPP_MI2_G4|TPP_MI2_G5|TPP_MI2_G6|TPP_MI2_G7|TPP_MI2_G8,TPP MARITSA EAST 2 EAD,,
TPP_MI3_G1|TPP_MI3_G2|TPP_MI3_G3|TPP_MI3_G4|TPP_MARITSA_3_G1,TEC ContourGlobal Maritsa East 3,,
TPP_RUSE_G4,,,"probably missing some <100MW generation units, ETS name is 'Toplofikatsia RuseAD TEC Ruse Iztok'."
,,,
,,,CZ
ECHV_G1____|ECHV_G2____|ECHV_G3____|ECHV_G4____,Elektrárna Chvaletice,,
EDET_G2____|EDET_G3____|EDET_G4____,"ČEZ, a. s. - Elektrárna Dětmarovice",,
EECK_G4____|EECK_G5____|EECK_G7____,Teplárna Kladno - Elektrárna Kladno,,
ELED_G6____,"ČEZ, a. s. - Elektrárna Ledvice",,
EPC1_G2____|EPC1_G3____|EPC1_G4____|EPC1_G5____|EPC1_G6____,Elektrárna Počerady,,
EPC2_B21___,"ČEZ, a. s., Elektrárna Počerady 2",,
EPR2_G23___|EPR2_G24___|EPR2_G25___,"ČEZ, a. s. - Elektrárna Prunéřov 2",,
EPVR.B1|EPVR.B2,Sokolovská uhelná - Teplárna a PPC Vřesová,,uses syngas derived from lignite as well as natural gas -> high emission factor
ETI2.G6,Elektrárna Tisová,,
ETU2_G21___|ETU2_G22___|ETU2_G23___|ETU2_G24___,"ČEZ, a. s. - Elektrárna Tušimice 2",,
,,,
,,,DE
eic:11WD2HANN5C---1X|eic:11WD2HANN5C---2V,GKH - Gemeinschaftskraftwerk Hannover GmbH,,
eic:11WD2MEHR2CSWHCZ,Kraftwerk Mehrum Block 3,,
eic:11WD7NORF5GAGUDC|eic:11WD7NORF5GGUDFA,Heizkraftwerk Lausward,,
eic:11WD2HERR5G----G,Kraftwerk Herrenhausen,,
Block GT1|Block GT2,Heizkraftwerk GuD Süd (C200),,BASF Ludwigshafen Süd
