country,fuel,total_generation,matched_generation,coverage_percentage,emissions_el,emissions_heat,emission_factor
,coal,167450518.5549999,159013549.55999985,94.96151515814573,135286432.79465207,13298461.20534793,850.7855661923015
,coal+lignite,365923574.5224998,357646723.1274997,97.73809287750845,352823885.7548565,18596704.24514347,986.5150802152775
,gas,353531595.49750006,335373068.8525001,94.86367643620459,142621682.04778492,11266435.952215066,425.2627753795912
,lignite,198473055.96749988,198633173.56749985,100.08067472897993,217537452.96020445,5298243.039795541,1095.1718137166072
,oil,3939124.7175,2576852.8125000005,65.41688819985936,2335821.483951593,1662.5160484072312,906.4629041367075
AT,coal,0.0,0.0,100.0,0.0,0.0,
AT,coal+lignite,0.0,0.0,100.0,0.0,0.0,
AT,gas,7825405.410000024,6268254.330000004,80.10133662838541,2177550.6058426043,449992.3941573954,347.39346733600115
BE,gas,14369464.250000011,13191955.880000006,91.80548175273826,8039179.0,0.0,609.4000823780799
BG,coal,0.0,0.0,100.0,0.0,0.0,
BG,coal+lignite,17892973.0,17892973.0,100.0,18232939.0,0.0,1018.9999727826114
BG,gas,144045.0,144045.0,100.0,407162.0,0.0,2826.630566836752
BG,lignite,17892973.0,17892973.0,100.0,18232939.0,0.0,1018.9999727826114
CZ,coal,1148792.7999999993,1148792.7999999993,100.0,1076108.024224161,89467.97577583898,936.7294295578467
CZ,coal+lignite,21931675.590000045,21931675.59000005,100.00000000000001,21457508.213171706,709437.7868282963,978.3797925114056
CZ,gas,4860354.269999999,4860354.27,100.00000000000001,2441444.576805428,765538.423194572,502.3182346758086
CZ,lignite,20782882.790000044,20782882.790000048,100.00000000000001,20381400.188947544,619969.8110524573,980.682054308381
DE,coal,46425522.20999996,45580541.569999956,98.1799221639816,38919279.4330856,5072736.566914399,853.8573279853559
DE,coal+lignite,144557359.0999998,143872496.0599998,99.52623439978159,146551599.9413043,8123495.058695715,1018.621376251005
