country,name,generation,emission,fuel,sigma,generation_el,generation_heat,emissions_heat,emissions_el,emission_factor
AT,Manual Match,DO3,Wien Energie - KW Donaustadt,gas,0.0,1524515.5,1188047.7339013705,160002.93288895828,469297.06711104175,307.8335819550813
AT,Manual Match,GDK-Mellach Linie 10|GDK-Mellach Linie 20,Verbund GDK-Mellach,gas,0.0,1121051.660000004,5444.696056105541,909.0634502348387,427826.9365497652,381.6299924570502
AT,Manual Match,Kraftwerk Timelkam GUD,Energie AG GuD Kraftwerk Timelkam,gas,0.0,528954.7100000004,43482.2961531378,7364.714913978005,204778.285086022,387.1376532142456
AT,Manual Match,Sim1_DT|Sim1_GT41|Sim1_GT42,Wien Energie - KW Simmering 1+2,gas,0.0,2688755.5,1802896.9359975287,260499.74996949,887993.25003051,330.26180700718606
AT,theiss,KW Theiß M3|KW Theiß M5,EVN Kraftwerk Theiß,gas,0.0,404976.95999999915,104653.58179730974,21215.932934734312,187655.0670652657,463.3722053354988
BE,Manual Match,EDF Luminus Seraing GT1|EDF Luminus Seraing GT2|SERAING TV,EDFL - Seraing,gas,0.0,770463.2399999993,0.0,0.0,316274.0,410.4984943863127
BE,Manual Match,RINGVAART STEG,EDFL - Centrale Buitenring Wondelgem Gent,gas,0.0,1474876.4499999976,0.0,0.0,562554.0,381.4244915226634
BE,Manual Match,SAINT-GHISLAIN STEG,Electrabel Baudour,gas,0.0,1160148.6400000018,0.0,0.0,458505.0,395.2122893494055
BE,Manual Match,T-power Beringen,T-Power,gas,0.0,1531038.2000000007,0.0,0.0,558203.0,364.5911643484792
BE,Manual Match,VILVOORDE GT|VILVOORDE GT|VILVOORDE ST,Electrabel - Vilvoorde,gas,0.0,335627.4999999999,0.0,0.0,136710.0,407.3265748486046
BE,Manual Match,Zelzate 2 Knippegroen,Electrabel - Knippegroen,gas,0.0,1712717.5199999965,0.0,0.0,3598491.0,2101.041740963803
BE,amercoeur,Amercoeur 1 R GT|Amercoeur 1 R ST,Electrabel Amercoeur-Roux,gas,0.0,2160493.840000007,0.0,0.0,800478.0,370.5069577981289
BE,drogenbos,DROGENBOS GT1|DROGENBOS GT2|DROGENBOS ST,Electrabel - Centrale Drogenbos,gas,0.0,1063144.6500000022,0.0,0.0,438302.0,412.26939344519025
BE,herdersbrug,HERDERSBRUG GT1|HERDERSBRUG GT2|HERDERSBRUG ST,Electrabel - Centrale Herdersbrug,gas,0.0,556734.2100000001,0.0,0.0,242394.0,435.38549571078084
BE,marcinelle,Marcinelle Energie (Carsid),Centrale C.C.G.T. Marcinelle Energie,gas,0.0,828614.7500000005,0.0,0.0,309624.0,373.6646010706421
BE,zandvliet,Zandvliet Power,Zandvliet-Power,gas,0.0,1598096.8800000008,0.0,0.0,617644.0,386.4872072086141
BG,Manual Match,TPP_GALABOVO_G1|TPP_GALABOVO_G2,TPP AES-3C Maritza East 1,lignite,0.0,3857207.0,0.0,0.0,4429287.0,1148.314570620659
BG,Manual Match,TPP_MI2_G1|TPP_MI2_G2|TPP_MI2_G3|TPP_MI2_G4|TPP_MI2_G5|TPP_MI2_G6|TPP_MI2_G7|TPP_MI2_G8,TPP MARITSA EAST 2 EAD,lignite,0.0,5964104.0,0.0,0.0,6673429.0,1118.9323660352
BG,Manual Match,TPP_MI3_G1|TPP_MI3_G2|TPP_MI3_G3|TPP_MI3_G4|TPP_MARITSA_3_G1,TEC ContourGlobal Maritsa East 3,lignite,0.0,5899390.0,0.0,0.0,6377280.0,1081.0066803516975
BG,bobov,TPP_BOBOV_DOL_G1|TPP_BOBOV_DOL_G2|TPP_BOBOV_DOL_G3,TPP Bobov Dol,lignite,0.0,2172272.0,0.0,0.0,752943.0,346.61543305810693
BG,varna,TPP VARNA G4|TPP VARNA G5|TPP VARNA G6,TPP VARNA EAD,gas,0.0,144045.0,0.0,0.0,407162.0,2826.630566836752
CZ,Manual Match,ECHV_G1____|ECHV_G2____|ECHV_G3____|ECHV_G4____,Elektrárna Chvaletice,lignite,0.0,3320612.7000000007,38869.986760198044,17314.7751474369,3380980.224852563,1018.1796343947495
CZ,Manual Match,EDET_G2____|EDET_G3____|EDET_G4____,"ČEZ, a. s. - Elektrárna Dětmarovice",coal,0.0,1148792.7999999993,218310.88454357805,89467.97577583898,1076108.024224161,936.7294295578467
CZ,Manual Match,EECK_G4____|EECK_G5____|EECK_G7____,Teplárna Kladno - Elektrárna Kladno,lignite,0.0,1911126.9899999872,265243.9213949326,99854.45485424888,1644498.5451457512,860.486275245248
CZ,Manual Match,ELED_G6____,"ČEZ, a. s. - Elektrárna Ledvice",lignite,0.0,3602602.2000000407,362659.7655780252,159504.4991159568,3621694.500884043,1005.2995861946684
CZ,Manual Match,EPC1_G2____|EPC1_G3____|EPC1_G4____|EPC1_G5____|EPC1_G6____,Elektrárna Počerady,lignite,0.0,4262141.600000002,43738.24341900954,19754.65111312805,4400052.348886872,1032.3571485487175
CZ,Manual Match,EPC2_B21___,"ČEZ, a. s., Elektrárna Počerady 2",gas,0.0,2710882.0999999945,0.0,0.0,969700.0,357.706445440767
CZ,Manual Match,EPR2_G23___|EPR2_G24___|EPR2_G25___,"ČEZ, a. s. - Elektrárna Prunéřov 2",lignite,0.0,3583044.199999984,384516.2095358143,156728.69358878394,3338166.306411216,931.6564686562424
CZ,Manual Match,EPVR.B1|EPVR.B2,Sokolovská uhelná - Teplárna a PPC Vřesová,gas,0.004950680873202865,2149472.1700000046,2555573.1599555556,765538.423194572,1471744.5768054281,684.7004568593344
CZ,Manual Match,ETI2.G6,Elektrárna Tisová,lignite,0.0,554416.0,187681.4363985557,98478.45189327125,664932.5481067287,1199.3386700721637
CZ,Manual Match,ETU2_G21___|ETU2_G22___|ETU2_G23___|ETU2_G24___,"ČEZ, a. s. - Elektrárna Tušimice 2",lignite,0.0,3548939.100000032,166408.16901968673,68334.28533963146,3331075.7146603684,938.6116867038767
DE,Manual Match,Block 1|Block 2,GKH - Gemeinschaftskraftwerk Hannover GmbH,coal,0.07836261138980825,1188278.2400000119,672086.2977115822,268771.76899178984,1086172.2310082102,914.0723060014961
DE,Manual Match,Block 3,Kraftwerk Mehrum Block 3,coal,0.0,967482.25,0.0,0.0,875157.0,904.5716342599567
DE,Manual Match,Block AGuD|Block F,Heizkraftwerk Lausward,gas,0.0,2926576.829999965,892495.5301247953,128298.96788684989,961610.0321131501,328.57843411312786
DE,Manual Match,Block GT 11|Block GT 12,GuD-Anlage A 800,gas,1.0,2970846.879999988,3092581.4174728254,523862.888695387,1150267.111304613,387.18491991233753
DE,Manual Match,Block GT1|Block GT2,Heizkraftwerk GuD Süd (C200),gas,1.0,2534935.34000003,2232167.2248578584,401033.67149148934,1040981.3285085107,410.65399660588514
DE,Manual Match,DEFARGE____1_____,Kraftwerk Farge,coal,0.0,971498.5200000037,0.0,0.0,879703.0,905.5114154986017
DE,Manual Match,DESBR____CHP____,Heizkraftwerk Römerbrücke,gas,0.0,253837.96999999761,458270.20923856954,81892.08395866139,103680.91604133861,408.4531405657695
DE,Manual Match,DEWHV______1_____,Steinkohlekraftwerk Wilhelmshaven,coal,0.0,2341954.659999976,0.0,0.0,1920025.0,819.838672709411
DE,Manual Match,DEZOLLI____1_____,Kraftwerk Zolling - Block 5 und Hilfskesselanlage,coal,0.07096193041822277,1621534.4499999902,87156.46352874245,31681.37783180203,1347263.622168198,830.8572304265298
DE,Manual Match,Datteln 4,Kraftwerk Datteln Block 4,coal,0.0,4725149.600000039,37621.42303732803,13243.764568003107,3802014.235431997,804.6336216385542
DE,Manual Match,GKB Mittelsbueren GuD,GuD,gas,0.0,451713.4000000001,0.0,0.0,185596.0,410.8711408605544
DE,Manual Match,GKM AG DBEnergie|GKM AG TNG|GKM AG Amprion,Grosskraftwerk Mannheim,coal,0.0,5141756.779999984,3637889.659372243,1182903.678961705,3821495.321038295,743.2275552011441
DE,Manual Match,GTHKW Nossener Bruecke,HKW NB Dresden,gas,0.0,1474498.1399999955,1582039.2725227752,246159.52663240608,524403.473367594,355.64878594393855
DE,Manual Match,GuD-Anlage-HKW-Merkenich,Heizkraftwerk Merkenich,gas,0.2186832293134364,42955.860000000066,552848.1354759317,296209.6968453518,52606.30315464822,1224.659526189166
DE,Manual Match,HERNE_4,Heizkraftwerk Herne,coal,0.0,1155125.6600000018,806162.6941792547,292423.18846946646,957723.8115305335,829.1079011529637
DE,Manual Match,HKW Altbach/Deizisau 2,Kraftwerk Altbach,coal,0.12784409467544308,993773.6000000059,315008.0566763841,144287.9781492462,1040442.0218507538,1046.960818692253
DE,Manual Match,HKW IIIB,HKW Duisburg|HKW IIIA GT,gas,0.7615176355740834,836825.25,1197990.129324851,195727.76262419086,312504.2373758091,373.44025813729826
DE,Manual Match,HKW Mitte GUD,HKW Mitte,gas,0.0,1699934.5,2191491.406458605,300194.4135415217,532251.5864584784,313.1012321112833
DE,Manual Match,HKW Nord GuD Nord,GuD und Heizkraftwerk Nord,gas,0.0,230970.3099999997,538162.894115592,79868.16773798369,78349.83226201631,339.22036240076227
DE,Manual Match,HKW Reuter West Block D|HKW Reuter West Block E,HKW Reuter West,coal,0.0,1326831.25,1772533.470730951,577156.9558917029,987500.0441082971,744.2544363560152
DE,Manual Match,HKW Wedel Block 1|HKW Wedel Block 2,Heizkraftwerk Wedel,coal,0.0,817335.5,1311627.523989436,431089.1493903755,614014.8506096245,751.2396691562088
DE,Manual Match,HKW West Block 1|HKW West Block 2,Heizkraftwerk West,coal,0.5262841273228558,1372344.4800000205,424688.6612266079,179321.89436215034,1324487.1056378498,965.1272876018928
DE,Manual Match,Ingolstadt 3|Ingolstadt 4,Kraftwerk Ingolstadt,oil,0.0,13607.63,0.0,0.0,27286.0,2005.1985540465166
DE,Manual Match,Irsching 4,Kraftwerk Irsching Block 4,gas,0.0,1783150.7699999907,0.0,0.0,610943.0,342.61993448821113
DE,Manual Match,KMW_KW3,Kraftwerk Mainz,gas,0.0,497246.02000000124,288488.9293318439,101912.28577977812,401504.71422022185,807.4568685742742
DE,Manual Match,KW Boxberg Block Q|KW Boxberg Block R,Kraftwerk Boxberg Werk IV,lignite,0.0,8337820.5,9324.543052873769,4185.7506658577695,8555005.249334142,1026.0481440364592
DE,Manual Match,KW Hamm-Uentrop Block 10|KW Hamm-Uentrop Block 20,GuD Hamm - TGH,gas,0.0,1405538.6300000101,0.0,0.0,524952.0,373.48813386935956
DE,Manual Match,KW Hastedt Block 15,Kraftwerk Hastedt Block 15,coal,0.38714332948726576,601466.4000000001,405558.0895894937,158605.94147662775,537650.0585233723,893.8987423459934
DE,Manual Match,KW Lünen Block 1,Kohlekraftwerk Lünen - TKL,coal,0.0,3832665.5399999656,61890.10042294083,21547.229483262647,3049952.7705167374,795.7784833259321
DE,Manual Match,KW Mittelsbueren Block 4,Block 4 Bremen,gas,0.0,907442.0,0.0,0.0,2519316.0,2776.283222508987
DE,Manual Match,Knapsack 2,Knapsack II,gas,0.0,1052241.9999999998,0.0,0.0,379334.0,360.50072131695947
DE,Manual Match,Küstenkraftwerk,Gasmotorenheizkraftwerk,gas,0.0,827961.040000009,558975.2742096062,85279.46152369813,288724.5384763019,348.71754168082447
DE,Manual Match,Lichterfelde GUD,GuD-HKW Lichterfelde,gas,0.0,1272899.0,951451.5076670982,142789.62455856905,436642.37544143095,343.02986760255993
DE,Manual Match,NIEHL-II-DT|NIEHL-II-GT|NIEHL-3,Heizkraftwerk Niehl,gas,0.0,3266917.389999982,1124813.4121061275,188232.66810134356,1249610.3318986564,382.5044170763875
DE,Manual Match,Nord 2 T20,Heizkraftwerk Nord 2,coal,0.0,662376.8400000066,1772682.663419797,523761.9423125973,447332.0576874027,675.3437479598446
