freq,unit,indic_nrg,geo\TIME_PERIOD	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,CDD,FR	9.55 	6.59 	13.37 	28.02 	56.32 	11.48 	14.93 	24.70 	32.25 	13.12 	31.74 	49.88 	38.31 	39.11 	13.97 	62.80 	45.37 	14.31 	32.02 	38.01 	21.05 	19.78 	38.82 	21.96 	150.02 	32.67 	54.81 	80.80 	16.00 	20.99 	43.46 	38.02 	31.71 	45.38 	42.27 	17.33 	77.11 	49.18 	67.92 	65.98 	87.94 	76.93 	30.70 	116.52 	87.22 
A,NR,CDD,HR	40.97 	35.00 	38.73 	52.45 	64.12 	19.53 	58.02 	50.51 	83.07 	101.11 	44.85 	50.90 	76.52 	95.87 	100.14 	172.23 	38.11 	33.50 	44.77 	136.99 	85.90 	137.17 	113.23 	94.97 	253.12 	82.49 	85.46 	139.69 	152.33 	140.49 	121.64 	127.32 	156.78 	233.58 	154.84 	60.56 	225.25 	116.42 	208.60 	151.30 	191.60 	130.15 	197.20 	210.07 	181.67 
A,NR,CDD,HU	27.27 	11.62 	34.43 	26.64 	42.51 	16.07 	39.91 	48.63 	60.68 	76.67 	40.46 	26.88 	51.33 	127.56 	63.16 	141.44 	37.37 	31.06 	14.09 	78.66 	34.96 	109.11 	64.86 	93.72 	145.96 	41.74 	41.63 	100.52 	135.75 	68.67 	73.04 	98.76 	91.91 	180.49 	115.08 	49.78 	199.47 	63.55 	143.47 	125.31 	149.79 	70.40 	166.58 	163.57 	120.70 
A,NR,CDD,IE	0.00 	0.00 	0.00 	0.00 	0.85 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.05 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.24 	0.03 	0.00 
A,NR,CDD,IT	75.60 	62.52 	71.67 	151.99 	132.47 	57.18 	120.88 	113.75 	164.90 	173.41 	103.74 	110.43 	143.24 	149.23 	146.06 	239.07 	129.89 	89.88 	127.45 	232.01 	173.52 	172.11 	210.83 	152.41 	409.64 	173.29 	174.25 	230.09 	208.32 	244.24 	248.91 	197.31 	217.30 	320.38 	204.43 	134.10 	305.96 	208.00 	302.35 	239.60 	305.83 	241.58 	288.62 	375.20 	300.78 
A,NR,CDD,LT	0.23 	0.00 	0.00 	0.10 	0.10 	1.58 	0.45 	3.28 	0.04 	1.10 	3.87 	0.00 	0.96 	20.93 	0.00 	17.77 	0.25 	0.00 	6.77 	7.59 	8.40 	0.00 	12.94 	23.00 	4.91 	0.15 	1.62 	19.02 	7.65 	1.31 	2.21 	57.32 	5.19 	18.92 	9.10 	25.24 	15.51 	7.57 	4.65 	25.07 	11.54 	1.13 	48.97 	19.31 	16.66 
A,NR,CDD,LU	0.00 	0.00 	1.91 	9.69 	33.22 	9.72 	1.49 	3.78 	3.74 	2.41 	9.79 	25.34 	19.87 	16.86 	0.00 	55.93 	32.06 	3.83 	8.76 	27.69 	0.72 	3.91 	16.58 	21.90 	94.84 	8.60 	22.92 	64.44 	9.02 	5.07 	11.67 	35.33 	9.74 	23.50 	29.17 	13.43 	68.27 	25.03 	23.52 	51.87 	59.42 	55.61 	1.27 	29.87 	1.72 
A,NR,CDD,LV	0.23 	0.00 	0.05 	0.30 	0.09 	0.79 	0.00 	0.73 	0.00 	3.22 	1.48 	0.00 	0.00 	8.97 	0.00 	7.32 	0.72 	0.03 	4.91 	2.62 	6.33 	0.00 	11.51 	15.44 	9.93 	0.00 	0.16 	14.81 	3.17 	1.21 	0.26 	49.00 	8.14 	9.47 	5.04 	14.85 	4.10 	5.09 	0.91 	24.09 	3.23 	1.70 	42.46 	13.60 	8.77 
A,NR,CDD,MT	432.58 	284.96 	399.25 	587.77 	454.95 	336.84 	423.49 	440.47 	639.14 	582.54 	455.52 	589.53 	513.78 	479.38 	542.32 	676.80 	601.42 	494.38 	584.61 	650.61 	754.98 	608.79 	659.06 	559.24 	740.22 	477.84 	475.39 	599.01 	617.71 	548.60 	575.55 	499.13 	534.56 	781.30 	629.65 	648.46 	685.34 	611.05 	673.11 	625.61 	756.22 	672.27 	793.36 	841.72 	750.93 
A,NR,CDD,NL	0.00 	0.23 	0.80 	6.62 	7.68 	0.40 	0.28 	0.60 	0.52 	0.08 	4.25 	9.79 	6.99 	5.84 	0.15 	33.61 	18.72 	6.17 	14.09 	2.77 	1.08 	7.14 	14.04 	11.20 	27.91 	11.37 	5.82 	25.54 	3.44 	3.25 	6.11 	16.45 	5.44 	8.84 	11.74 	8.66 	15.42 	13.07 	5.41 	30.91 	39.67 	40.09 	4.08 	18.14 	10.86 
A,NR,CDD,PL	3.67 	0.04 	0.97 	3.94 	4.03 	4.01 	4.20 	6.01 	4.01 	6.35 	13.13 	0.94 	5.64 	32.31 	2.10 	45.30 	6.77 	1.57 	7.07 	14.11 	6.96 	9.46 	11.62 	20.34 	8.74 	2.71 	11.27 	32.87 	18.73 	3.86 	5.72 	48.11 	6.80 	29.53 	28.53 	22.12 	63.67 	16.90 	19.77 	29.74 	48.99 	11.17 	29.10 	40.65 	26.08 
A,NR,CDD,PT	144.09 	157.30 	227.92 	123.64 	119.97 	118.21 	177.30 	122.33 	244.00 	156.08 	242.89 	228.11 	285.60 	162.91 	171.91 	131.01 	204.36 	157.43 	138.02 	205.63 	157.49 	157.36 	153.45 	94.36 	235.79 	179.60 	218.15 	255.23 	109.40 	93.90 	191.19 	263.11 	143.34 	168.07 	241.98 	98.32 	181.31 	278.60 	267.28 	234.32 	167.04 	266.44 	133.23 	287.32 	234.99 
A,NR,CDD,RO	26.40 	26.08 	34.75 	20.85 	26.68 	17.14 	43.35 	50.28 	90.82 	83.52 	47.01 	42.64 	34.09 	96.45 	62.52 	92.96 	39.64 	61.50 	22.95 	89.99 	87.46 	125.43 	113.90 	98.99 	102.56 	40.05 	45.24 	79.02 	166.02 	95.50 	74.94 	131.82 	78.94 	209.43 	90.49 	62.82 	165.79 	108.20 	130.90 	84.67 	123.62 	96.33 	137.94 	145.61 	153.75 
A,NR,CDD,SE	0.06 	0.01 	0.00 	0.15 	0.56 	0.00 	0.00 	0.02 	0.00 	0.22 	0.16 	0.00 	0.23 	0.15 	0.01 	3.04 	0.01 	0.00 	0.21 	0.00 	0.13 	0.10 	0.24 	0.13 	0.25 	0.03 	0.07 	0.10 	0.01 	0.02 	0.03 	1.45 	0.02 	0.01 	0.03 	1.35 	0.13 	0.03 	0.00 	4.90 	0.98 	0.08 	0.99 	1.57 	0.02 
