freq,unit,indic_nrg,geo\TIME_PERIOD	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,HDD,LU	3437.03 	3493.13 	3283.06 	3096.45 	3198.38 	3384.76 	3545.39 	3452.66 	3524.11 	2975.56 	2879.86 	2926.58 	3291.74 	3017.98 	3168.95 	2881.32 	3051.64 	3547.24 	3012.35 	3032.74 	2873.82 	2730.74 	2989.14 	2784.61 	2893.41 	3081.54 	2958.31 	2833.89 	2643.84 	2912.21 	2869.92 	3344.46 	2633.71 	2921.04 	3204.69 	2515.66 	2850.70 	2962.58 	2871.62 	2666.78 	2753.60 	2563.11 	3173.52 	2671.19 	2732.68 
A,NR,HDD,LV	4627.66 	4817.47 	4400.13 	4306.81 	4001.69 	4287.97 	4945.35 	4484.94 	5057.81 	4295.62 	3732.62 	3762.31 	4020.92 	4031.67 	4408.73 	4399.39 	4110.72 	4707.55 	4284.10 	4269.81 	3972.04 	3732.08 	4180.03 	4057.45 	4244.78 	4206.53 	4181.30 	4013.78 	3900.67 	3727.95 	4150.44 	4635.98 	3937.92 	4322.02 	4036.79 	3939.85 	3657.39 	4002.81 	3997.38 	3862.19 	3622.92 	3402.72 	4143.70 	4025.74 	3755.06 
A,NR,HDD,MT	596.25 	731.86 	695.41 	682.96 	674.07 	660.74 	532.17 	633.03 	652.62 	562.25 	491.21 	472.50 	624.62 	628.30 	638.40 	469.26 	497.49 	465.49 	489.38 	571.49 	554.91 	512.79 	419.81 	449.86 	646.01 	550.68 	713.46 	506.75 	367.07 	345.03 	534.05 	402.95 	549.19 	662.36 	460.65 	374.61 	543.90 	322.36 	534.15 	365.57 	515.23 	401.93 	465.87 	543.62 	392.62 
A,NR,HDD,NL	3451.02 	3229.78 	3146.36 	2949.30 	2972.53 	3168.23 	3416.11 	3330.68 	3381.93 	2772.12 	2620.05 	2582.06 	3022.80 	2718.02 	2967.41 	2745.25 	2822.84 	3452.64 	2871.12 	2662.92 	2551.85 	2496.48 	2728.84 	2594.89 	2762.17 	2772.07 	2650.18 	2566.51 	2424.77 	2697.32 	2727.14 	3311.71 	2516.57 	2817.13 	3012.96 	2282.08 	2625.49 	2679.86 	2538.98 	2528.64 	2514.41 	2386.53 	2722.19 	2395.80 	2318.86 
A,NR,HDD,PL	3934.92 	4169.29 	3753.83 	3545.68 	3371.61 	3723.89 	4105.47 	3874.13 	4177.09 	3572.60 	3206.73 	3192.33 	3697.57 	3518.67 	3702.40 	3458.68 	3626.12 	4151.88 	3693.19 	3563.27 	3330.74 	3104.32 	3588.96 	3344.88 	3597.66 	3515.39 	3544.15 	3462.59 	3232.13 	3174.47 	3448.86 	3923.03 	3315.94 	3551.16 	3502.91 	3094.64 	3112.56 	3286.01 	3288.37 	3123.43 	2951.82 	3005.65 	3491.49 	3200.38 	2972.75 
A,NR,HDD,PT	1471.97 	1438.72 	1261.29 	1302.59 	1319.07 	1485.78 	1395.19 	1509.40 	1236.86 	1296.84 	1145.07 	1236.54 	1464.02 	1257.57 	1399.62 	1130.96 	925.05 	1231.36 	903.76 	1139.31 	1261.16 	1263.95 	1246.56 	1137.33 	1220.40 	1344.48 	1338.02 	1189.30 	1236.60 	1267.83 	1153.85 	1298.28 	1089.29 	1347.73 	1336.17 	1138.56 	1080.28 	1233.04 	1054.83 	1307.33 	1109.07 	1010.10 	1064.78 	967.88 	1046.75 
A,NR,HDD,RO	3147.02 	3560.73 	3261.99 	3253.76 	3097.83 	3281.43 	3634.90 	3267.63 	3535.44 	3308.43 	2916.96 	2876.32 	3343.45 	3190.37 	3362.06 	2842.33 	3225.86 	3471.01 	3374.12 	3218.44 	3000.93 	2931.43 	3028.97 	2932.00 	3393.84 	3107.75 	3248.31 	3164.93 	2837.51 	2871.73 	2850.30 	3056.91 	3174.10 	3089.55 	2865.71 	2730.97 	2787.05 	2920.43 	2918.88 	2748.49 	2568.23 	2665.22 	2993.60 	2751.22 	2506.53 
A,NR,HDD,SE	5875.27 	5934.76 	5961.21 	5480.28 	5374.20 	5385.53 	6266.57 	5732.65 	6067.09 	5452.93 	4945.69 	4893.23 	5276.25 	5136.60 	5452.62 	5495.59 	5464.56 	5699.17 	5213.06 	5493.29 	5262.84 	4925.62 	5422.89 	5210.90 	5224.63 	5281.26 	5085.06 	4985.68 	5069.60 	5074.88 	5294.04 	5986.18 	4895.71 	5471.41 	5155.24 	4850.03 	4875.48 	5092.48 	5181.13 	5122.22 	5119.61 	4592.22 	5201.47 	4919.42 	5180.32 
A,NR,HDD,SI	3199.34 	3517.72 	3216.79 	3097.91 	3123.67 	3303.84 	3402.73 	3364.52 	3369.15 	3053.55 	2939.76 	2892.68 	3349.87 	2932.42 	3085.84 	2771.52 	3118.92 	3429.66 	3065.76 	3029.43 	2933.60 	2594.38 	2877.10 	2674.53 	3063.34 	3072.24 	3192.52 	2978.51 	2685.84 	2793.77 	2795.70 	3136.59 	2826.88 	2836.51 	2870.67 	2345.72 	2703.06 	2759.75 	2834.88 	2579.61 	2600.72 	2693.00 	2985.84 	2643.91 	2489.96 
A,NR,HDD,SK	3494.14 	3945.90 	3531.06 	3453.38 	3309.55 	3576.03 	3851.72 	3634.40 	3780.36 	3477.10 	3248.53 	3260.97 	3656.04 	3418.10 	3503.01 	3164.14 	3476.43 	3768.25 	3591.63 	3438.43 	3302.84 	3057.85 	3419.03 	3231.50 	3473.71 	3436.66 	3542.90 	3383.84 	3098.00 	3044.68 	3182.56 	3491.35 	3244.11 	3296.36 	3237.52 	2713.17 	3058.95 	3176.37 	3289.94 	2923.83 	2899.05 	3048.53 	3382.63 	3042.68 	2841.65 
