country,name,generation,emission,fuel,sigma,generation_el,generation_heat,emissions_heat,emissions_el,emission_factor
AT,Manual Match,DO3,Wien Energie - KW Donaustadt,gas,0.0,1694089.5,1095756.443773429,149233.36159827444,527363.6384017256,311.2962086133735
AT,Manual Match,GDK-Mellach Linie 10|GDK-Mellach Linie 20,Verbund GDK-Mellach,gas,0.0,1260142.2300000042,151400.80262316493,23598.18810753202,448943.81189246796,356.2643971486191
AT,Manual Match,Kraftwerk Timelkam GUD,Energie AG GuD Kraftwerk Timelkam,gas,0.0,929931.4300000034,30870.56873316951,4838.845573961511,333173.1544260385,358.27711987972845
AT,Manual Match,Sim1_DT|Sim1_GT41|Sim1_GT42,Wien Energie - KW Simmering 1+2,gas,0.0,3192856.75,1652250.5063777403,239340.34789361004,1057161.6521063899,331.1021241734036
AT,theiss,KW Theiß M3|KW Theiß M5,EVN Kraftwerk Theiß,gas,0.0,435392.58999999915,93000.7348640481,17695.358260181354,189354.64173981865,434.9055222547977
BE,Manual Match,EDF Luminus Seraing GT1|EDF Luminus Seraing GT2|SERAING TV,EDFL - Seraing,gas,0.0,997677.6600000007,0.0,0.0,406731.0,407.6777663839839
BE,Manual Match,RINGVAART STEG,EDFL - Centrale Buitenring Wondelgem Gent,gas,0.0,1118631.8800000013,0.0,0.0,418328.0,373.9639531818095
BE,Manual Match,SAINT-GHISLAIN STEG,Electrabel Baudour,gas,0.0,736620.8500000013,0.0,0.0,287433.0,390.2048116069475
BE,Manual Match,T-power Beringen,T-Power,gas,0.0,1791254.2999999882,0.0,0.0,636648.0,355.4202214615782
BE,Manual Match,VILVOORDE GT|VILVOORDE ST,Electrabel - Vilvoorde,gas,0.0,452940.6,0.0,0.0,174805.0,385.93360807134536
BE,Manual Match,Zelzate 2 Knippegroen,Electrabel - Knippegroen,gas,0.0,2165846.150000003,0.0,0.0,4958747.0,2289.519502574083
BE,amercoeur,Amercoeur 1 R GT|Amercoeur 1 R ST,Electrabel Amercoeur-Roux,gas,0.0,1876612.4400000041,0.0,0.0,688550.0,366.9111348318668
BE,drogenbos,DROGENBOS GT1|DROGENBOS GT2|DROGENBOS ST,Electrabel - Centrale Drogenbos,gas,0.0,1433736.2000000011,0.0,0.0,587208.0,409.5648836933876
BE,herdersbrug,HERDERSBRUG GT1|HERDERSBRUG GT2|HERDERSBRUG ST,Electrabel - Centrale Herdersbrug,gas,0.0,587592.9399999997,0.0,0.0,252579.0,429.85370110131026
BE,marcinelle,Marcinelle Energie (Carsid),Centrale C.C.G.T. Marcinelle Energie,gas,0.0,1547783.9700000004,0.0,0.0,568176.0,367.08998866295263
BE,zandvliet,Zandvliet Power,Zandvliet-Power,gas,0.0,1511097.759999996,0.0,0.0,576751.0,381.67682810938817
BG,Manual Match,TPP_GALABOVO_G1|TPP_GALABOVO_G2,TPP AES-3C Maritza East 1,lignite,0.0,4116549.0,0.0,0.0,4673387.0,1135.2681578671843
BG,Manual Match,TPP_MI2_G1|TPP_MI2_G2|TPP_MI2_G3|TPP_MI2_G4|TPP_MI2_G5|TPP_MI2_G6|TPP_MI2_G7|TPP_MI2_G8,TPP MARITSA EAST 2 EAD,lignite,0.0,9640999.0,0.0,0.0,10926444.0,1133.3310998165232
