country,fuel,total_generation,matched_generation,coverage_percentage,emissions_el,emissions_heat,emission_factor
,coal,119802891.8949999,112332060.60999992,93.76406431695511,96707396.6608162,10673321.339183794,860.906460147382
,coal+lignite,276689003.3224999,267604961.6874999,96.71687651987676,264870637.21276835,15174255.787231639,989.7822355105485
,gas,290111846.18750006,265009750.93250003,91.3474421727762,113470667.48579735,8597542.514202658,428.1754429281328
,lignite,156886111.42749995,155272901.0775,98.9717315731001,168163240.55195215,4500934.448047844,1083.0173158677464
,oil,2913809.3649999998,1710791.1774999998,58.71321569796656,1457125.7415094743,1602.2584905256494,851.7262426141278
AT,gas,6010812.51000001,4764037.710000001,79.25779920891249,1518192.0236935865,418658.97630641336,318.6775831993962
BE,gas,11030718.270000003,10265944.659999996,93.0668738763826,7124527.0,0.0,693.9962405758772
BG,coal,0.0,0.0,100.0,0.0,0.0,
BG,coal+lignite,12247690.0,12247690.0,100.0,12265386.0,0.0,1001.4448438848468
BG,lignite,12247690.0,12247690.0,100.0,12265386.0,0.0,1001.4448438848468
CZ,coal,755223.2999999991,755223.2999999991,100.0,678994.6356924713,75075.36430752875,899.0647344864387
CZ,coal+lignite,19857143.59999999,19857143.59999999,100.0,19188690.90047247,633944.0995275279,966.3369156716215
CZ,gas,1820163.4799999972,1820163.4799999972,100.00000000000001,952230.8749279344,887275.1250720656,523.1567853058649
CZ,lignite,19101920.29999999,19101920.29999999,100.0,18509696.26478,558868.7352199992,968.9966230662164
DE,coal,33404598.120000005,31499861.51,94.2979807655294,26697917.93108311,3833187.068916886,847.5566764827694
DE,coal+lignite,110080474.87999997,108274895.91999999,98.35976456136453,111073728.49774575,6540516.502254251,1025.8493213405045
DE,gas,28819641.79000005,24752395.420000043,85.88724176505457,10828064.254420083,2456576.7455799165,437.4552066856107
DE,lignite,76675876.75999996,76775034.40999998,100.12932052972852,84375810.56666264,2707329.4333373653,1099.0006219479162
DE,oil,1196575.3900000001,0.0,0.0,0.0,0.0,
DK,coal,1742406.1200000048,1640780.5200000051,94.16751359895365,1017721.3388889475,601360.6611110525,620.266590493739
DK,coal+lignite,1742406.1200000048,1640780.5200000051,94.16751359895365,1017721.3388889475,601360.6611110525,620.266590493739
DK,gas,197925.5600000003,0.0,0.0,0.0,0.0,
DK,oil,8844.780000000463,8844.780000000463,100.0,9933.74150947435,1602.2584905256494,1123.1191176574014
ES,coal,3914263.899999996,3914263.8999999957,99.99999999999999,5181282.0,0.0,1323.692559410725
ES,coal+lignite,3914263.899999996,3914263.8999999957,99.99999999999999,5181282.0,0.0,1323.692559410725
ES,gas,39954114.800000004,39805240.199999996,99.62738606337486,15591301.0,0.0,391.68965999607263
FI,coal,1984691.7299999574,1961551.9999999572,98.83408946335456,760387.5851982315,799528.4148017685,387.6458973293841
FI,coal+lignite,1984691.7299999574,1961551.9999999572,98.83408946335456,760387.5851982315,799528.4148017685,387.6458973293841
FI,gas,253135.49000000488,0.0,0.0,0.0,0.0,
FI,oil,1578.3099999999731,1578.3099999999731,100.0,1339.0,0.0,848.3757943623388
FR,coal,652055.0,644970.0,98.91343521635444,709659.0,0.0,1100.2976882645705
FR,coal+lignite,652055.0,644970.0,98.91343521635444,709659.0,0.0,1100.2976882645705
FR,gas,19595584.0,18197484.0,92.86522922715649,8733550.762066748,172479.23793325323,479.93177309933327
FR,oil,431423.0,431423.0,100.0,372602.0,0.0,863.6581730691224
GR,coal+lignite,4499179.0,2786811.0,61.940434021407015,4181583.5809080657,198572.4190919341,1500.4905538653557
GR,gas,15147508.0,13766561.0,90.88333869835223,5441622.255083817,757074.744916183,395.27825831620675
GR,lignite,4499179.0,2786811.0,61.940434021407015,4181583.5809080657,198572.4190919341,1500.4905538653557
HU,coal+lignite,2399953.1525000026,2399953.1525000026,100.0,2939749.1136155725,25395.88638442776,1224.9193741774795
HU,gas,4388774.887499889,4388774.887499889,100.0,1664277.4422136517,225103.5577863483,379.2123052275585
HU,lignite,2399953.1525000026,2399953.1525000026,100.0,2939749.1136155725,25395.88638442776,1224.9193741774795
HU,oil,7051.480000001037,4171.107500001458,59.152227617476676,2886.0,0.0,691.9025702403957
IE,coal,1301837.015000001,1120150.6400000004,86.04384627978943,1387505.0,0.0,1238.6771479236038
IE,coal+lignite,1301837.015000001,1120150.6400000004,86.04384627978943,1387505.0,0.0,1238.6771479236038
IE,gas,12652273.804999987,11570175.839999989,91.44740319663039,5548344.223429626,663968.7765703747,479.53845301538917
IE,oil,8622.644999999999,6463.3499999999985,74.95785805863514,6206.0,0.0,960.183186737528
IT,coal,12105448.0,12105448.0,100.0,12079270.0,0.0,997.8375025856127
IT,coal+lignite,12105448.0,12105448.0,100.0,12079270.0,0.0,997.8375025856127
IT,gas,92062576.0,88837788.0,96.49717818019778,35082063.93187855,423607.0681214555,394.9002414589449
IT,oil,1220231.0,1220231.0,100.0,1050290.0,0.0,860.7304682474056
LT,gas,322250.0,322250.0,100.0,118314.41139502678,11384.588604973223,367.15100510481545
LV,gas,1180924.0,1180924.0,100.0,406503.3559875571,139781.6440124429,344.22482394087774
NL,coal,11947462.179999944,11947462.179999944,99.99999999999999,7016987.9696264705,85537.0303735295,587.3203751481976
NL,coal+lignite,11947462.179999944,11947462.179999944,99.99999999999999,7016987.9696264705,85537.0303735295,587.3203751481976
NL,gas,30544582.755000025,26907620.665000018,88.09293903546727,13041028.207059326,395308.7929406748,484.6592855392224
NO,gas,937.9000000000001,0.0,0.0,0.0,0.0,
PL,coal,51710549.45000001,46457991.48000002,89.84238607814679,40865191.487412594,5273564.512587402,879.6159753269768
PL,coal+lignite,83818607.62,78566049.65,93.73342254286425,77133005.18694526,5743635.8130547255,981.7600035964805
PL,gas,10696062.710000016,7204101.090000014,67.35283146072733,3003245.6044729245,1411812.395527076,416.8799919592632
PL,lignite,32108058.17,32108058.169999994,99.99999999999999,36267813.69953267,470071.300467324,1129.5548770812718
PT,gas,7921977.600000022,7921977.600000022,100.0,2937393.0,0.0,370.79036931384303
RO,coal,134612.3500000003,134612.3500000003,100.0,201325.0,0.0,1495.59085774819
RO,coal+lignite,6603527.25,6603527.25,100.0,6364812.158188372,286078.841811628,963.850366209721
RO,gas,6354587.910000005,2149239.84000001,33.82186021249029,1072108.7893657307,517552.2106342692,498.8316191671404
RO,lignite,6468914.899999999,6468914.899999999,100.00000000000001,6163487.158188372,286078.841811628,952.7853207944306
SE,gas,236370.77000000075,236370.77000000075,100.0,69140.18189418473,31626.818105815273,292.5073260715972
SE,oil,39482.75999999793,38079.629999997924,96.44622108484798,13869.0,0.0,364.21047158285825
SI,coal+lignite,2719291.814999998,2719291.814999998,100.0,2616915.201673317,129029.79832668329,962.3517370361072
SI,gas,2222.1799999999994,0.0,0.0,0.0,0.0,
SI,lignite,2719291.814999998,2719291.814999998,100.0,2616915.201673317,129029.79832668329,962.3517370361072
SK,coal,149744.73000000019,149744.73000000019,100.0,111154.71291437115,5068.2870856288455,742.2946564755301
SK,coal+lignite,814972.0600000143,814972.0600000143,100.0,953953.6795058883,130656.32049411171,1170.535440817286
SK,gas,918701.7700000597,918701.7700000597,100.0,338760.16790860344,85331.83209139659,368.73790708880574
SK,lignite,665227.330000014,665227.330000014,100.0,842798.9665915171,125588.03340848286,1266.9337662231937
