country,name,generation,emission,fuel,sigma,generation_el,generation_heat,emissions_heat,emissions_el,emission_factor
AT,Manual Match,DO3,Wien Energie - KW Donaustadt,gas,0.0,1371346.0,980037.3160995905,130234.6466724659,416536.3533275341,303.74271214378723
AT,Manual Match,GDK-Mellach Linie 10|GDK-Mellach Linie 20,Verbund GDK-Mellach,gas,0.0,671289.1000000006,302780.22713848145,41262.80265889276,209104.19734110724,311.4964883849702
AT,Manual Match,Kraftwerk Timelkam GUD,Energie AG GuD Kraftwerk Timelkam,gas,0.0,324056.4500000004,30085.548526776613,4682.86083608341,115291.1391639166,355.7748631879305
AT,Manual Match,Sim1_DT|Sim1_GT41|Sim1_GT42,Wien Energie - KW Simmering 1+2,gas,0.0,2325041.75,1610756.8962580469,224151.95056652173,739546.0494334783,318.07861060278947
AT,mellach,FHKW Mellach,Verbund FHKW Mellach,gas,0.0,4023.250000000002,0.0,0.0,6168.0,1533.0889206487286
AT,theiss,KW Theiß M3|KW Theiß M5,EVN Kraftwerk Theiß,gas,0.0,68281.16000000003,90669.09026691169,18326.715572449535,31546.284427550465,462.0056898205955
BE,Manual Match,EDF Luminus Seraing GT1|EDF Luminus Seraing GT2|SERAING TV,EDFL - Seraing,gas,0.0,358481.98,0.0,0.0,149360.0,416.6457683591237
BE,Manual Match,RINGVAART STEG,EDFL - Centrale Buitenring Wondelgem Gent,gas,0.0,1094898.2599999986,0.0,0.0,414760.0,378.81145230790713
BE,Manual Match,SAINT-GHISLAIN STEG,Electrabel Baudour,gas,0.0,957429.1200000007,0.0,0.0,371971.0,388.510222041293
BE,Manual Match,T-power Beringen,T-Power,gas,0.0,1174062.7799999975,0.0,0.0,418227.0,356.2220071400278
BE,Manual Match,VILVOORDE GT|VILVOORDE ST,Electrabel - Vilvoorde,gas,0.0,237215.2399999997,0.0,0.0,93375.0,393.62985278686193
BE,Manual Match,Zelzate 2 Knippegroen,Electrabel - Knippegroen,gas,0.0,1666996.1600000004,0.0,0.0,3834133.0,2300.025094238969
BE,amercoeur,Amercoeur 1 R GT|Amercoeur 1 R ST,Electrabel Amercoeur-Roux,gas,0.0,1889766.019999999,0.0,0.0,700353.0,370.60302311923266
BE,drogenbos,DROGENBOS GT1|DROGENBOS GT2|DROGENBOS ST,Electrabel - Centrale Drogenbos,gas,0.0,464747.6299999976,0.0,0.0,196574.0,422.9693435983762
BE,herdersbrug,HERDERSBRUG GT1|HERDERSBRUG GT2|HERDERSBRUG ST,Electrabel - Centrale Herdersbrug,gas,0.0,468696.80999999994,0.0,0.0,201493.0,429.900515004572
BE,marcinelle,Marcinelle Energie (Carsid),Centrale C.C.G.T. Marcinelle Energie,gas,0.0,819888.7000000003,0.0,0.0,308070.0,375.7461226139595
BE,zandvliet,Zandvliet Power,Zandvliet-Power,gas,0.0,1133761.9600000004,0.0,0.0,436211.0,384.746547679197
BG,Manual Match,TPP_GALABOVO_G1|TPP_GALABOVO_G2,TPP AES-3C Maritza East 1,lignite,0.0,2170136.0,0.0,0.0,2584968.0,1191.154840065323
BG,Manual Match,TPP_MI2_G1|TPP_MI2_G2|TPP_MI2_G3|TPP_MI2_G4|TPP_MI2_G5|TPP_MI2_G6|TPP_MI2_G7|TPP_MI2_G8,TPP MARITSA EAST 2 EAD,lignite,0.0,3889442.0,0.0,0.0,4293437.0,1103.869655338735
BG,Manual Match,TPP_MI3_G1|TPP_MI3_G2|TPP_MI3_G3|TPP_MI3_G4|TPP_MARITSA_3_G1,TEC ContourGlobal Maritsa East 3,lignite,0.0,4311305.0,0.0,0.0,4666052.0,1082.2829746445682
BG,bobov,TPP_BOBOV_DOL_G1|TPP_BOBOV_DOL_G2|TPP_BOBOV_DOL_G3,TPP Bobov Dol,lignite,0.0,1876807.0,0.0,0.0,720929.0,384.12527233753923
CZ,Manual Match,ECHV_G1____|ECHV_G2____|ECHV_G3____|ECHV_G4____,Elektrárna Chvaletice,lignite,0.0,2804206.0999999978,37440.218708162596,16805.8827187422,2877099.1172812576,1025.9941725685783
CZ,Manual Match,EDET_G2____|EDET_G3____|EDET_G4____,"ČEZ, a. s. - Elektrárna Dětmarovice",coal,0.0,755223.2999999986,190865.9367013703,75075.3643075288,678994.6356924712,899.0647344864391
CZ,Manual Match,EECK_G4____|EECK_G5____|EECK_G7____,Teplárna Kladno - Elektrárna Kladno,lignite,0.0,2154798.8000000166,224482.95482845767,77258.72468704035,1695090.2753129597,786.6582603039071
CZ,Manual Match,ELED_G6____,"ČEZ, a. s. - Elektrárna Ledvice",lignite,0.0,2647424.9999999325,290042.92692287173,129134.30160094584,2694169.6983990544,1017.6566657786805
CZ,Manual Match,EPC1_G2____|EPC1_G3____|EPC1_G4____|EPC1_G5____|EPC1_G6____,Elektrárna Počerady,lignite,0.0,3973117.7999999993,37010.3914238997,16618.003831734717,4077636.996168265,1026.3065938211714
CZ,Manual Match,EPC2_B21___,"ČEZ, a. s., Elektrárna Počerady 2",gas,0.0,1637055.4999999981,0.0,0.0,596292.0,364.2466611547383
CZ,Manual Match,EPR2_G23___|EPR2_G24___|EPR2_G25___,"ČEZ, a. s. - Elektrárna Prunéřov 2",lignite,0.0,3128380.799999995,364968.60931648774,146930.15802453467,2878703.8419754654,920.1897166660368
CZ,Manual Match,EPVR.B1|EPVR.B2,Sokolovská uhelná - Teplárna a PPC Vřesová,gas,0.004950680873202865,183107.97999999943,1043306.9418873013,887275.1250720661,355938.8749279339,1943.8741824792946
CZ,Manual Match,ETI2.G6,Elektrárna Tisová,lignite,0.0,525705.0,158832.492779462,103701.75365360366,784532.2463463964,1492.3431322631445
CZ,Manual Match,ETU2_G21___|ETU2_G22___|ETU2_G23___|ETU2_G24___,"ČEZ, a. s. - Elektrárna Tušimice 2",lignite,0.0,3868286.8000000436,172722.70080774708,68419.91070339813,3502464.0892966017,905.4303029694081
DE,Manual Match,Block 1|Block 2,GKH - Gemeinschaftskraftwerk Hannover GmbH,coal,0.07836261138980825,1134744.230000012,832376.0965883353,312514.2249106667,973800.7750893333,858.16763755593
DE,Manual Match,Block 3,Kraftwerk Mehrum Block 3,coal,0.0,609387.0,0.0,0.0,579732.0,951.3363429150934
DE,Manual Match,Block AGuD|Block F,Heizkraftwerk Lausward,gas,0.0,2392821.2299999734,744104.3597820603,107371.37689446133,789199.6231055387,329.81971791747577
DE,Manual Match,Block B,Kraftwerk Herrenhausen,gas,0.0,1650.6200000000015,0.0,0.0,1680.0,1017.7993723570528
DE,Manual Match,Block GT 11|Block GT 12,GuD-Anlage A 800,gas,1.0,2165121.210000027,3092585.825747546,505802.956751051,809401.043248949,373.83636514693734
DE,Manual Match,Block GT1|Block GT2,Heizkraftwerk GuD Süd (C200),gas,1.0,1357157.0500000608,2232168.0288190716,334903.3756740469,465419.6243259531,342.93718941807964
DE,Manual Match,DEFARGE____1_____,Kraftwerk Farge,coal,0.0,472958.65000000113,0.0,0.0,429881.0,908.9187818004787
DE,Manual Match,DESBR____CHP____,Heizkraftwerk Römerbrücke,gas,0.0,141915.499999999,351047.1563357116,53498.63166751887,49434.36833248113,348.33663928521884
DE,Manual Match,DEWHV______1_____,Steinkohlekraftwerk Wilhelmshaven,coal,0.0,1236060.7099999972,0.0,0.0,1050944.0,850.2365551284308
DE,Manual Match,DEZOLLI____1_____,Kraftwerk Zolling - Block 5 und Hilfskesselanlage,coal,0.07096193041822277,1273338.9899999984,111292.25474889672,42826.05246699399,1119976.947533006,879.5591404398978
DE,Manual Match,Datteln 4,Kraftwerk Datteln Block 4,coal,0.0,3407444.7000000034,381115.1473876982,137436.35469808968,2808640.64530191,824.2659507583226
DE,Manual Match,GKB Mittelsbueren GuD,GuD,gas,0.0,4020.8,0.0,0.0,3219.0,800.5869478710704
DE,Manual Match,GKM AG DBEnergie|GKM AG TNG|GKM AG Amprion,Grosskraftwerk Mannheim,coal,0.0,3368278.4299999843,2042898.1789337408,719187.6585365967,2710350.3414634033,804.6693282014147
DE,Manual Match,GTHKW Nossener Bruecke,HKW NB Dresden,gas,0.0,1085387.3100000154,1285686.684453162,193715.9836388991,373798.0163611009,344.39136418602095
DE,Manual Match,HERNE_4,Heizkraftwerk Herne,coal,0.0,706037.2200000002,594907.0778035369,205472.7694384257,557384.2305615743,789.4544576015046
DE,Manual Match,HKW Altbach/Deizisau 2,Kraftwerk Altbach,coal,0.12784409467544308,543819.7300000022,430468.23812611564,236059.2528839337,681642.7471160663,1253.4351173983032
DE,Manual Match,HKW IIIB,HKW Duisburg|HKW IIIA GT,gas,0.7477311098515994,395088.75,892636.7491625143,143555.35755166932,145231.64244833068,367.59245219796986
DE,Manual Match,HKW Mitte GUD,HKW Mitte,gas,0.0,1375149.5,1873199.993965227,259767.46149562005,435885.5385043799,316.9732007351782
DE,Manual Match,HKW Nord GuD Nord,GuD und Heizkraftwerk Nord,gas,0.0,353861.81999999983,349366.75445128616,70863.43350774901,164057.566492251,463.62042249217814
DE,Manual Match,HKW Reuter West Block D|HKW Reuter West Block E,HKW Reuter West,coal,0.0,1283687.0,1515072.7443564693,526691.4048488688,1020008.5951511312,794.5929149014761
DE,Manual Match,HKW Wedel Block 1|HKW Wedel Block 2,Heizkraftwerk Wedel,coal,0.0,793469.25,1121119.3265717602,409580.7827676854,662582.2172323146,835.0446059911138
DE,Manual Match,HKW West Block 1|HKW West Block 2,Heizkraftwerk West,coal,0.5262841273228558,1087889.170000009,377478.0244953102,129911.728941398,855782.271058602,786.6447195706479
DE,Manual Match,Irsching 4,Kraftwerk Irsching Block 4,gas,0.0,1410357.7399999928,0.0,0.0,506475.0,359.111015337146
DE,Manual Match,KMW_KW2GT|KMW_KW2DT|KMW_KW3,Kraftwerk Mainz,gas,0.0,882385.1400000115,196562.20976086278,33842.87933661767,347254.12066338235,393.54030901220506
