country,name,generation,emission,ignore_reason,fuel,sigma,generation_el,generation_heat,emissions_heat,emissions_el,emission_factor
AT,Manual Match,Block 07 Linz,,filtered in manual_matches.csv: ETS data seems to be missing,gas,0.0,1018801.0500000095,0.0,0.0,0.0,0.0
AT,Manual Match,Lau GuD,Wien Energie - KW Leopoldau,0 generation,gas,0.0,0.0,0.0,0.0,0.0,0.0
AT,Manual Match,Sim3_DT,,"filtered in manual_matches.csv: missing gas turbine data, ETS is 'Wien Energie - KW Simmering 3'",gas,0.0,227973.75,0.0,0.0,0.0,0.0
AT,riedersbach,KW Riedersbach 2 G2,Energie AG Kraftwerk Riedersbach,0 generation,coal,0.0,0.0,0.0,0.0,0.0,0.0
BE,Manual Match,INESCO WKK,,"filtered in manual_matches.csv: probably provides steam/heat to ETS industry, ETS name is 'INEOS Oxide Utilities'",gas,0.0,62557.260000000104,0.0,0.0,0.0,0.0
BE,Manual Match,Scheldelaan Exxonmobil,,filtered in manual_matches.csv: no separate ETS record for power plant,gas,0.0,702216.3500000059,0.0,0.0,0.0,0.0
BG,Manual Match,TPP_RUSE_G4,,"filtered in manual_matches.csv: probably missing some <100MW generation units, ETS name is 'Toplofikatsia RuseAD TEC Ruse Iztok'.",coal,0.0,0.0,0.0,0.0,0.0,0.0
DE,,KW5,,seems to be a meaningless generation unit name,gas,0.0,31984.510000000082,0.0,0.0,0.0,0.0
DE,Manual Match,GUD_HERNE_6,GuD Herne,emission factor seems implausible,gas,0.0,367417.2899999997,408516.90078306297,276247.868624208,567898.131375792,1545.6489033920873
DE,Manual Match,GuD Dormagen,,"filtered in manual_matches.csv: provides steam for local industry which takes part in ETS, so heat emission calculation fails. ETS is 'Kraftwerk Dormagen'",gas,0.0,907635.6200000036,0.0,0.0,0.0,0.0
DE,Manual Match,GuD-Anlage-HKW-Merkenich,Heizkraftwerk Merkenich,0 generation,gas,0.21868322931343637,0.0,0.0,0.0,0.0,0.0
DE,Manual Match,GuD-Block,,"filtered in manual_matches.csv: provides heat for local industry which takes part in ETS, so heat emission calculation fails. ETS is 'Gemeinschaftskraftwerk Burghausen'",gas,0.0,166217.49999999965,0.0,0.0,0.0,0.0
DE,Manual Match,HKW West Block 4,,"filtered in manual_matches.csv: HKW West, Frankfurt - coal blocks (2 + 3) are <100MW, so missing from ENTSO-E. ETS is id:14310-0512:1078",gas,0.0,168530.8299999994,0.0,0.0,0.0,0.0
DE,Manual Match,IKS Schwedt SE1 Block 1|IKS Schwedt SE2 Block 2,,filtered in manual_matches.csv: only combined refinery + power plant ETS data is available,oil,0.0,1165582.25,0.0,0.0,0.0,0.0
DE,Manual Match,Knapsack 1,,"filtered in manual_matches.csv: ETS is 'Gas und Dampfturbinen Kraftanlage Knapsack', but Entso-E data seems to be very incomplete for 2023",gas,0.0,591271.6999999986,0.0,0.0,0.0,0.0
DE,Manual Match,Knapsack 2,,"filtered in manual_matches.csv: ETS is 'Knapsack II', but Entso-E data seems to be very incomplete for 2023",gas,0.0,84491.5,0.0,0.0,0.0,0.0
DE,Manual Match,Kraftwerk Wahlheim GT D,,"filtered in manual_matches.csv: ETS is 'Kraftwerk Walheim', apparent typo in generation name. Coal blocks are missing from Entso-E data, this is just the oil-fired gas turbine.",oil,0.0,13953.139999999994,0.0,0.0,0.0,0.0
