country,fuel,total_generation,matched_generation,coverage_percentage,emissions_el,emissions_heat,emission_factor
,coal,90720208.52249986,78110665.18249987,86.10062350454953,64427900.99041032,7712239.009589681,824.8284768780196
,coal+lignite,235485298.91499957,188218912.41999972,79.92809457202632,182965337.66073576,11211528.339264244,972.0879549684098
,gas,275379123.67249995,240220579.05249995,87.23267611897371,103585301.76810926,7802380.231890729,431.20910863124186
,lignite,144765090.39249972,110108247.23749983,76.05994438228495,118537436.67032544,3499289.329674562,1076.5536610045579
,oil,2349499.0774999987,908466.249999999,38.66638036592289,784712.0289525362,1501.9710474637798,863.7767544501925
AT,gas,6094912.180000007,4792999.870000006,78.63935900057547,1578092.9934217872,352317.0065782128,329.2495381231432
BE,gas,7381474.299999995,6703535.879999994,90.81567729633629,6404284.0,0.0,955.3590992340605
BG,coal,18313.0,0.0,0.0,0.0,0.0,
BG,coal+lignite,9168613.0,7549061.0,82.33591056793432,8590030.0,0.0,1137.8938387171597
BG,lignite,9150300.0,7549061.0,82.50069396631804,8590030.0,0.0,1137.8938387171597
CZ,coal,606029.3249999976,606029.3249999976,100.0,528145.1478805889,57386.85211941116,871.4844745847752
CZ,coal+lignite,18782731.27499986,18782731.274999857,99.99999999999999,18208377.197530597,575724.8024693988,969.4211630321446
CZ,gas,1732742.0200000014,1732742.0200000014,100.0,760119.5050891478,651275.4949108522,438.68013605923124
CZ,lignite,18176701.94999986,18176701.949999858,99.99999999999997,17680232.04965001,518337.9503499877,972.6864696513411
DE,coal,22952284.935,21953119.755,95.64677249855691,19080822.050232906,3134476.9497670894,869.1622085233282
DE,coal+lignite,93001454.82499997,92162547.36499996,99.09796307855767,96201061.70115215,5564349.298847843,1043.8194738710733
DE,gas,34309093.24499993,30237697.22999997,88.13318677376206,11278414.355542326,2509692.644457673,372.99184093795947
DE,lignite,70049169.88999997,70209427.60999997,100.22877889952395,77120239.65091924,2429872.349080754,1098.4313969814357
DE,oil,1427574.0899999999,0.0,0.0,0.0,0.0,
DK,coal,1685187.4799999688,1340820.1800000016,79.56504519010706,883897.7212955964,344230.2787044036,659.22167228688
DK,coal+lignite,1685187.4799999688,1340820.1800000016,79.56504519010706,883897.7212955964,344230.2787044036,659.22167228688
DK,gas,204427.29999999976,0.0,0.0,0.0,0.0,
DK,oil,10261.010000000733,10261.010000000733,100.0,11373.02895253622,1501.9710474637798,1108.3732451810697
ES,coal,2959924.1999999913,2959924.1999999913,99.99999999999999,4356940.0,0.0,1471.9768837323647
ES,coal+lignite,2959924.1999999913,2959924.1999999913,99.99999999999999,4356940.0,0.0,1471.9768837323647
ES,gas,28783352.599999998,28635999.499999993,99.4880613733648,11892977.0,0.0,415.31558903679974
FI,coal,1116796.8500000148,726120.369999996,65.01812482726706,408017.08509348263,404757.91490651737,561.9138395655872
FI,coal+lignite,1116796.8500000148,726120.369999996,65.01812482726706,408017.08509348263,404757.91490651737,561.9138395655872
FI,gas,362639.46000000456,0.0,0.0,0.0,0.0,
FI,oil,1788.4900000000011,1788.4900000000011,100.0,1497.0,0.0,837.0189377631405
FR,coal,572505.0,223246.0,38.994593933677436,244336.0,0.0,1094.4697777339795
FR,coal+lignite,572505.0,223246.0,38.994593933677436,244336.0,0.0,1094.4697777339795
FR,gas,9361646.0,7961117.0,85.03971416992269,5336342.091264039,158270.90873596072,670.3006740466243
FR,oil,295774.0,295774.0,100.0,252513.0,0.0,853.7362986604637
GR,coal+lignite,3231891.0,3231891.0,100.0,4085512.6292373794,184470.3707626205,1264.124510770128
GR,gas,20756537.0,13314453.0,64.14583029914864,5164793.203956431,765015.7960435695,387.9087788252683
GR,lignite,3231891.0,3231891.0,100.0,4085512.6292373794,184470.3707626205,1264.124510770128
HU,coal+lignite,2353423.765000005,2353423.765000005,100.0,2860027.6251722192,19626.374827780688,1215.2624902095408
HU,gas,3992162.459999998,3992162.459999998,100.0,1517737.3915536327,226913.60844636723,380.1792654384194
