country,name,generation,emission,fuel,sigma,generation_el,generation_heat,emissions_heat,emissions_el,emission_factor
AT,Manual Match,DO3,Wien Energie - KW Donaustadt,gas,0.0,1296541.5,847346.4980032117,118193.64009687703,413372.359903123,318.82694067495953
AT,Manual Match,GDK-Mellach Linie 10|GDK-Mellach Linie 20,Verbund GDK-Mellach,gas,0.0,1295807.6800000058,243076.30481584545,35990.6501641875,438540.3498358125,338.4301209233538
AT,Manual Match,Kraftwerk Timelkam GUD,Energie AG GuD Kraftwerk Timelkam,gas,0.0,404902.7200000007,20614.325242447107,3153.920790745851,141597.07920925415,349.70641641837796
AT,Manual Match,Sim1_DT|Sim1_GT41|Sim1_GT42,Wien Energie - KW Simmering 1+2,gas,0.0,1729323.5,1278292.7173218883,181471.48682643668,561146.5131735633,324.4890346852762
AT,theiss,KW Theiß M3|KW Theiß M5,EVN Kraftwerk Theiß,gas,0.0,66424.47,87502.92412725618,13507.308699965708,23436.69130003429,352.8321912095692
BE,Manual Match,EDF Luminus Seraing GT1|EDF Luminus Seraing GT2|SERAING TV,EDFL - Seraing,gas,0.0,83168.37999999999,0.0,0.0,33861.0,407.1379050547817
BE,Manual Match,RINGVAART STEG,EDFL - Centrale Buitenring Wondelgem Gent,gas,0.0,768683.0300000006,0.0,0.0,296134.0,385.2485204467175
BE,Manual Match,SAINT-GHISLAIN STEG,Electrabel Baudour,gas,0.0,388474.93000000034,0.0,0.0,147043.0,378.5134860568734
BE,Manual Match,T-power Beringen,T-Power,gas,0.0,327814.0399999967,0.0,0.0,116518.0,355.4393216349158
BE,Manual Match,VILVOORDE GT|VILVOORDE ST,Electrabel - Vilvoorde,gas,0.0,24697.27000000001,0.0,0.0,13854.0,560.9526882930783
BE,Manual Match,Zelzate 2 Knippegroen,Electrabel - Knippegroen,gas,0.0,2027431.579999995,0.0,0.0,4600290.0,2269.0235494901444
BE,amercoeur,Amercoeur 1 R GT|Amercoeur 1 R ST,Electrabel Amercoeur-Roux,gas,0.0,1169429.1500000013,0.0,0.0,436158.0,372.9665880143312
BE,drogenbos,DROGENBOS GT1|DROGENBOS GT2|DROGENBOS ST,Electrabel - Centrale Drogenbos,gas,0.0,337192.6699999999,0.0,0.0,141517.0,419.69180409526706
BE,herdersbrug,HERDERSBRUG GT1|HERDERSBRUG GT2|HERDERSBRUG ST,Electrabel - Centrale Herdersbrug,gas,0.0,276677.35000000003,0.0,0.0,122100.0,441.30826032561026
BE,marcinelle,Marcinelle Energie (Carsid),Centrale C.C.G.T. Marcinelle Energie,gas,0.0,649982.5900000007,0.0,0.0,244440.0,376.07161139500636
BE,zandvliet,Zandvliet Power,Zandvliet-Power,gas,0.0,649984.8899999998,0.0,0.0,252369.0,388.26902576150667
BG,Manual Match,TPP_GALABOVO_G1|TPP_GALABOVO_G2,TPP AES-3C Maritza East 1,lignite,0.0,2276152.0,0.0,0.0,2742310.0,1204.800909605334
BG,Manual Match,TPP_MI2_G1|TPP_MI2_G2|TPP_MI2_G3|TPP_MI2_G4|TPP_MI2_G5|TPP_MI2_G6|TPP_MI2_G7|TPP_MI2_G8,TPP MARITSA EAST 2 EAD,lignite,0.0,4484205.0,0.0,0.0,5091214.0,1135.3660236318367
BG,Manual Match,TPP_MI3_G1|TPP_MI3_G2|TPP_MI3_G3|TPP_MI3_G4|TPP_MARITSA_3_G1,TEC ContourGlobal Maritsa East 3,lignite,0.0,788704.0,0.0,0.0,756506.0,959.1760660526636
CZ,Manual Match,ECHV_G1____|ECHV_G2____|ECHV_G3____|ECHV_G4____,Elektrárna Chvaletice,lignite,0.0,2569638.5999999945,31301.620784306,14505.190281551915,2721764.809718448,1059.2014027647522
CZ,Manual Match,EDET_G2____|EDET_G3____|EDET_G4____,"ČEZ, a. s. - Elektrárna Dětmarovice",coal,0.0,606029.3249999976,150513.2352059491,57386.85211941116,528145.1478805889,871.4844745847752
CZ,Manual Match,EECK_G4____|EECK_G5____|EECK_G7____,Teplárna Kladno - Elektrárna Kladno,lignite,0.0,1613611.200000049,213581.0237968017,75652.20357150954,1306410.7964284904,809.6193162444898
CZ,Manual Match,ELED_G6____,"ČEZ, a. s. - Elektrárna Ledvice",lignite,0.0,2609430.4500000356,288262.48794366885,126187.43624604751,2610932.5637539523,1000.5756481280874
CZ,Manual Match,EPC1_G2____|EPC1_G3____|EPC1_G4____|EPC1_G5____|EPC1_G6____,Elektrárna Počerady,lignite,0.0,3483141.4000000097,35194.96725641755,16075.6537303544,3636479.3462696457,1044.022888726147
CZ,Manual Match,EPC2_B21___,"ČEZ, a. s., Elektrárna Počerady 2",gas,0.0,1628383.3000000012,0.0,0.0,603614.0,370.68299582782475
CZ,Manual Match,EPR2_G23___|EPR2_G24___|EPR2_G25___,"ČEZ, a. s. - Elektrárna Prunéřov 2",lignite,0.0,3608941.650000018,316422.88600615755,127829.27961650612,3332454.7203834937,923.3883624534293
CZ,Manual Match,EPVR.B1|EPVR.B2,Sokolovská uhelná - Teplárna a PPC Vřesová,gas,0.004950680873202865,104358.72000000018,992626.3631071434,651275.4949108522,156505.50508914783,1499.6878563587936
CZ,Manual Match,ETI2.G6,Elektrárna Tisová,lignite,0.0,262678.0,142682.29968817928,94496.38482291558,397640.6151770844,1513.7948940416952
CZ,Manual Match,ETU2_G21___|ETU2_G22___|ETU2_G23___|ETU2_G24___,"ČEZ, a. s. - Elektrárna Tušimice 2",lignite,0.0,4029260.6499997536,159383.87120206692,63591.8020811026,3674549.1979188975,911.9661191238949
DE,Manual Match,Block 1|Block 2,GKH - Gemeinschaftskraftwerk Hannover GmbH,coal,0.07836261138980825,953624.8500000049,801350.4067646622,294752.95148435683,801743.0485156432,840.7321270158167
DE,Manual Match,Block 3,Kraftwerk Mehrum Block 3,coal,0.0,498166.0,0.0,0.0,416145.0,835.3540787608949
DE,Manual Match,Block AGuD|Block F,Heizkraftwerk Lausward,gas,0.0,2659685.489999956,636701.4642712387,93167.41306929619,889570.5869307038,334.46457871630474
DE,Manual Match,Block B,Kraftwerk Herrenhausen,gas,0.0,2240.9400000000005,0.0,0.0,3663.0,1634.5819165171754
DE,Manual Match,Block GT 11|Block GT 12,GuD-Anlage A 800,gas,1.0,1891372.8300000206,3092580.782090412,480085.4981611244,671114.5018388756,354.82930239558755
DE,Manual Match,Block GT1|Block GT2,Heizkraftwerk GuD Süd (C200),gas,1.0,1463043.7700000312,1581610.4530626498,286973.8504286098,606767.1495713901,414.7293211681406
DE,Manual Match,DEFARGE____1_____,Kraftwerk Farge,coal,0.0,106590.44999999997,0.0,0.0,91289.0,856.4463326686399
DE,Manual Match,DESBR____CHP____,Heizkraftwerk Römerbrücke,gas,0.0,138435.69999999888,278326.3224618846,48280.60369668799,54889.39630331201,396.4974085681111
DE,Manual Match,DEWHV______1_____,Steinkohlekraftwerk Wilhelmshaven,coal,0.0,1522213.0499999956,0.0,0.0,1330035.0,873.7508852653732
DE,Manual Match,DEZOLLI____1_____,Kraftwerk Zolling - Block 5 und Hilfskesselanlage,coal,0.07096193041822277,997250.7400000049,107499.38338783705,40121.24041334605,850735.7595866539,853.0811013353069
DE,Manual Match,DT HKW-Niehl-2|GT HKW-Niehl-2|HKW-Niehl-3,Heizkraftwerk Niehl,gas,0.0,2513795.949999983,772108.8646832686,136486.25685572202,1015692.743144278,404.0474101107072
DE,Manual Match,Datteln 4,Kraftwerk Datteln Block 4,coal,0.0,2005739.999999998,391065.8173396505,134393.86420831413,1575528.135791686,785.5096551854615
DE,Manual Match,GKB Mittelsbueren GuD,GuD,gas,0.0,356248.00000000006,0.0,0.0,134179.0,376.6449215153488
DE,Manual Match,GKM AG DBEnergie|GKM AG TNG|GKM AG Amprion,Grosskraftwerk Mannheim,coal,0.0,3012214.110000006,1471302.6332313213,553787.1826837575,2591484.8173162425,860.3255687279938
DE,Manual Match,GTHKW Nossener Bruecke,HKW NB Dresden,gas,0.0,875797.6700000132,1240712.2530121808,192766.88361360537,311019.1163863946,355.12667713124875
DE,Manual Match,GuD Herne,GuD Herne,gas,0.0,2126496.1099999994,395866.07968808286,59391.93965810027,729232.0603418997,342.9265903251053
DE,Manual Match,HERNE_4,Heizkraftwerk Herne,coal,0.0,185637.87999999296,330795.8567426662,95916.69539445525,123033.30460554475,662.759694333664
DE,Manual Match,HKW Altbach/Deizisau 2,Kraftwerk Altbach,coal,0.12784409467544308,490895.9700000017,356915.3887648971,183426.48039333127,576644.5196066687,1174.6776401661368
DE,Manual Match,HKW IIIB,HKW Duisburg|HKW IIIA GT,gas,0.7717736770000764,357339.75,681750.4171668186,118062.85128996988,141446.14871003013,395.8309947606728
DE,Manual Match,HKW Mitte GUD,HKW Mitte,gas,0.0,1306684.5,1411277.1304391182,215749.34767945204,456593.65232054796,349.42914859749845
